"Year","Area","Street","Street.2"
2011,"Birmingham","Handsworth Police Station",""
2011,"Birmingham","Hawthorn Rd, Kingstanding, Birmingham",""
2011,"Birmingham","Heath Mill Ln",""
2011,"Birmingham","High St Harborne Birmingham",""
2011,"Birmingham","High St, Digbeth",""
2011,"Birmingham","High St, Digbeth",""
2011,"Birmingham","High St, Digbeth",""
2011,"Birmingham","High St, City Centre",""
2011,"Birmingham","High St,City Centre",""
2011,"Birmingham","Hilden Rd",""
2011,"Birmingham","Hill St, Birmingham",""
2011,"Birmingham","Hill St",""
2011,"Birmingham","Hill St, Birmingham",""
2011,"Birmingham","Hill St, City Centre",""
2011,"Birmingham","Hill St, City Centre",""
2011,"Birmingham","Hill St, City Centre",""
2011,"Birmingham","Hill St, City Centre",""
2011,"Birmingham","Hockley Circus",""
2011,"Birmingham","Holiday Inn, Lionel St",""
2011,"Birmingham","Holiday Inn, Smallbrook Queensway,",""
2011,"Birmingham","Holiday St",""
2011,"Birmingham","Holly Rd",""
2011,"Birmingham","Holte St, Gosta Green",""
2011,"Birmingham","Home Address",""
2011,"Birmingham","Horsefair",""
2011,"Birmingham","Horsefair Bristol St",""
2011,"Birmingham","Humer Tower,Francis St",""
2011,"Birmingham","Hurst",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St City Centre Birmingham",""
2011,"Birmingham","Hurst St, Bham",""
2011,"Birmingham","Hurst St, Birminhgam",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St, Birmingham",""
2011,"Birmingham","Hurst St, Birmingham",""
2011,"Birmingham","Hurst St, Birmingham",""
2011,"Birmingham","Hurst St, Birmingham",""
2011,"Birmingham","Hurst St, Birmingham",""
2011,"Birmingham","Hurst St, City Center",""
2011,"Birmingham","Hurst St, City Centre,",""
2011,"Birmingham","Hurst St,City Centre",""
2011,"Birmingham","Hurst St,City Centre",""
2011,"Birmingham","Ibis Hotel",""
2011,"Birmingham","Icc",""
2011,"Birmingham","Icc,Broad St",""
2011,"Birmingham","In Arcadian Centre Bham",""
2011,"Birmingham","Inge St",""
2011,"Birmingham","Inge St Hurst St",""
2011,"Birmingham","Islington Row, City Centre",""
2011,"Birmingham","Islington Row, Middleway",""
2011,"Birmingham","James Watt Queensway, Birmingham",""
2011,"Birmingham","Kent St",""
2011,"Birmingham","Kingstanding Rd",""
2011,"Birmingham","Kingstanding Rd",""
2011,"Birmingham","Lady Well Walk, City Centre",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk, Birmingham",""
2011,"Birmingham","Lattimer Place Winson Green",""
2011,"Birmingham","Lee Longlands, Broad St, Birmingham",""
2011,"Birmingham","Linwood Rd H Worth",""
2011,"Birmingham","Lloyds Bar Broad St",""
2011,"Birmingham","Lloyds Bar, Broad St",""
2011,"Birmingham","Lodge Rd Winson Green",""
2011,"Birmingham","Loft Lounge",""
2011,"Birmingham","Long Acre Nechells",""
2011,"Birmingham","Lower Bull St",""
2011,"Birmingham","Lower Bull St",""
2011,"Birmingham","Lower Parade, Sutton",""
2011,"Birmingham","Lower Parade, Sutton Coldfield",""
2011,"Birmingham","Macdonalds, Bordesley Green East",""
2011,"Birmingham","Macdonalds, Ramp, City Centre, Birmingham",""
2011,"Birmingham","Mailbox, Birmingham",""
2011,"Birmingham","Mcdonald St, Birmingham",""
2011,"Birmingham","Millward Close, Small Heath",""
2011,"Birmingham","Mono Bar, Arcadian Centre",""
2011,"Birmingham","Mono Bar,Ladywell Walk, City Centre",""
2011,"Birmingham","Moor St",""
2011,"Birmingham","Moor St",""
2011,"Birmingham","Moor St Entance To Bull Ring",""
2011,"Birmingham","Moore St, Birmingham",""
2011,"Birmingham","Moore St, City Centre, Birmingham",""
2011,"Birmingham","Moseley Park,Alcester St",""
2011,"Birmingham","Navigation St, Birmingham",""
2011,"Birmingham","Navigation St",""
2011,"Birmingham","Near To Hair & Beauty, Soho Rd",""
2011,"Birmingham","New Meeting St,City Centre",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St B Ham City Centre",""
2011,"Birmingham","New St City Centre",""
2011,"Birmingham","New St Railway Station",""
2011,"Birmingham","New St Railway Station",""
2011,"Birmingham","New St Railway Station",""
2011,"Birmingham","New St, Birmingham",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St Stephenson St",""
2011,"Birmingham","New St City Centre, Birmingham",""
2011,"Birmingham","New St Railwaty",""
2011,"Birmingham","New St Station",""
2011,"Birmingham","New St Station",""
2011,"Birmingham","New St Station",""
2011,"Birmingham","New St Station",""
2011,"Birmingham","New St Station, Birmingham",""
2011,"Birmingham","New St Station, Station Approach",""
2011,"Birmingham","New St, Birmingham",""
2011,"Birmingham","New St, Birmingham",""
2011,"Birmingham","New St, Birmingham",""
2011,"Birmingham","New St, City Centre",""
2011,"Birmingham","New St, City Centre",""
2011,"Birmingham","New St, City Centre",""
2011,"Birmingham","New St, City Centre",""
2011,"Birmingham","Newtown Housing Centre",""
2011,"Birmingham","Newtown Row",""
2011,"Birmingham","Next Clearance Store, Corporation St",""
2011,"Birmingham","Nineva Rd Ayt Soho Rd",""
2011,"Birmingham","Not Known",""
2011,"Birmingham","O/S Bham Crown Court",""
2011,"Birmingham","O/S Flairs Broad St",""
2011,"Birmingham","O/S Flares Club, Broad St, Birmingham",""
2011,"Birmingham","O/S Gatecrasher Broad St",""
2011,"Birmingham","O/S Mcdonalds, Ramp, City Centre",""
2011,"Birmingham","O/S New St Station",""
2011,"Birmingham","O/S Oceania, Ladywell Walk, Birmingham",""
2011,"Birmingham","O/S Reflex Broad St, City Centre",""
2011,"Birmingham","O/S The Crown Ph Station Rd",""
2011,"Birmingham","O/S Walkabout Broad St",""
2011,"Birmingham","O2 Academy",""
2011,"Birmingham","O2 Academy, Horsefair",""
2011,"Birmingham","Oh Bar, Broad St, Birmingham",""
2011,"Birmingham","O Neils, Broad St, Birmingham",""
2011,"Birmingham","Os Birmingham Magistrates Court",""
2011,"Birmingham","Os Dubliner Ph",""
2011,"Birmingham","Outside Bliss Broad St",""
2011,"Birmingham","Outside Bliss Nightclub",""
2011,"Birmingham","Outside Bliss Nightclub",""
2011,"Birmingham","Outside Bliss,Broad St",""
2011,"Birmingham","Outside O Velvet, Broad St",""
2011,"Birmingham","Outside Oceana Club",""
2011,"Birmingham","Outside Reflex Nightclub",""
2011,"Birmingham","Outside Revolution Bridge St Walsal",""
2011,"Birmingham","Outside Rocket Club Broad St",""
2011,"Birmingham","Outside Walkabout,Broad St",""
2011,"Birmingham","O Velvet, Nightclub, Broad St, Birmingham",""
2011,"Birmingham","Oxhill Rd",""
2011,"Birmingham","Pagoda Island",""
2011,"Birmingham","Paradise Forum",""
2011,"Birmingham","Paradise Forum City Centre Birmingham",""
2011,"Birmingham","Paradise Forum, Victoria Square, Birmingham",""
2011,"Birmingham","Pershore St Car Park",""
2011,"Birmingham","Pershore St Rd, City Centre",""
2011,"Birmingham","Pershore St, City Centre",""
2011,"Birmingham","Pizza Hut, New St, Birmingham",""
2011,"Birmingham","Quigley Ave",""
2011,"Birmingham","Rag Market, City Centre",""
2011,"Birmingham","Reflex On Broad St, Birmingham",""
2011,"Birmingham","Regency Wharf",""
2011,"Birmingham","Risa Bar, Birmingham",""
2011,"Birmingham","Risa,Broad St",""
2011,"Birmingham","Rookery Rd, Handsworth",""
2011,"Birmingham","Rottersley St, Birmingham",""
2011,"Birmingham","Rotunda Island, City Centre",""
2011,"Birmingham","Sainsburys Colmore Row",""
2011,"Birmingham","Sandringham Rd",""
2011,"Birmingham","Sandwell Hospital",""
2011,"Birmingham","Sence In The Arcadian",""
2011,"Birmingham","Sense Nightclub, Arcadia, Birmingham",""
2011,"Birmingham","Shadwell St",""
2011,"Birmingham","Shakespeare Bar, New St Station",""
2011,"Birmingham","Shakespeare Ph, New St Station",""
2011,"Birmingham","Sheepcote St, Birmingham",""
2011,"Birmingham","Sioho Rd, Handsworth",""
2011,"Birmingham","Slade Rd, Erdington",""
2011,"Birmingham","Small Brook Queensway",""
2011,"Birmingham","Smallbrook Queensway",""
2011,"Birmingham","Smallbrook Queensway",""
2011,"Birmingham","Smallbrook Queensway",""
2011,"Birmingham","Smallbrook Queensway City Centre Birmingham",""
2011,"Birmingham","Smallbrook Queensway,City Centre",""
2011,"Birmingham","Smethwick End",""
2011,"Birmingham","Soho Hill",""
2011,"Birmingham","Soho Hill, Handsworth, Birmingham",""
2011,"Birmingham","Soho Rd",""
2011,"Birmingham","Soho Rd",""
2011,"Birmingham","Soho Rd",""
2011,"Birmingham","Soho Rd",""
2011,"Birmingham","Sommerfield Park, Winson Green",""
2011,"Birmingham","Square Peg Ph",""
2011,"Birmingham","Square Peg,Corporation St",""
2011,"Birmingham","Star City, Aston",""
2011,"Birmingham","Star City, Birmingham",""
2011,"Birmingham","Star City, Nechells",""
2011,"Birmingham","Station Rd, City Centre",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln Police Station",""
2011,"Birmingham","Steelhouse Ln, Birmingham",""
2011,"Birmingham","Steelhouse Ln, City Centre, Birmingham",""
2011,"Birmingham","Stephenson St",""
2011,"Birmingham","Stephenson St",""
2011,"Birmingham","Stephenson St, Birmingham City",""
2011,"Birmingham","Stephenson St, City Centre",""
2011,"Birmingham","Stephensons St",""
2011,"Birmingham","Suffolk St Queensway",""
2011,"Birmingham","Sugar Suite, Broad St",""
2011,"Birmingham","Summer Ln",""
2011,"Birmingham","Summer Row",""
2011,"Birmingham","Temple Row",""
2011,"Birmingham","Temple Row",""
2011,"Birmingham","Tennant St",""
2011,"Birmingham","Terrace Rd, Handsworth",""
2011,"Birmingham","Tesco Aston Ln",""
2011,"Birmingham","Tesco Springhill",""
2011,"Birmingham","The Parade Sutton Coldfield",""
2011,"Birmingham","The Parade, Sutton Coldfield",""
2011,"Birmingham","The Ramp, Corporation St, Birmingham",""
2011,"Birmingham","The Ramp",""
2011,"Birmingham","Thornhill Rd, Birmingham",""
2011,"Birmingham","Thornhill Rd, Handsworth",""
2011,"Birmingham","Thorpe St At Hurst St",""
2011,"Birmingham","Thorpe St",""
2011,"Birmingham","Trocadero Public House O/S",""
2011,"Birmingham","Turners Pallets, Hayhole Rd",""
2011,"Birmingham","Upper Dean St",""
2011,"Birmingham","Upper Dean St, Birmingham",""
2011,"Birmingham","Upper Dean St, Birmingham City Centre",""
2011,"Birmingham","Upper Dean St, City Centre",""
2011,"Birmingham","Upper Parade Sutton Coldfield",""
2011,"Birmingham","Upper Parade Sutton Coldfield",""
2011,"Birmingham","Victoria Square, Bham",""
2011,"Birmingham","Victoria Square, City Centre",""
2011,"Birmingham","Waiverley Park,Handsworth",""
2011,"Birmingham","Walkabout Bar Broad St",""
2011,"Birmingham","Walkabout Ph, Broad St, Birmingham",""
2011,"Birmingham","Walkabout Ph, Broad St, Birmingham",""
2011,"Birmingham","Walkabout, Broad St",""
2011,"Birmingham","Walsall Rd, Great Barr",""
2011,"Birmingham","Walsall Rd, Perry Barr",""
2011,"Birmingham","Warf Rd Kings Norton",""
2011,"Birmingham","Warwards Ln",""
2011,"Birmingham","Washington Drive, Handsworth Wood",""
2011,"Birmingham","Washington St",""
2011,"Birmingham","Waterloo Rd, Smethwick",""
2011,"Birmingham","Waverhill Park, Handsworth",""
2011,"Birmingham","Waverhill Rd, Handsworth",""
2011,"Birmingham","Way Entrance Villa Ground",""
2011,"Birmingham","Wellington Rd",""
2011,"Birmingham","Witton Arms",""
2011,"Birmingham","Witton Rd",""
2011,"Birmingham","Witton Rd",""
2011,"Birmingham","Witton Rd Aston",""
2011,"Birmingham","Wrottesley St",""
2011,"Coventry","Primrose Hill Coventry",""
2011,"Coventry","Albany Rd",""
2011,"Coventry","Aldbourne Rd",""
2011,"Coventry","Aldermans Green Rd",""
2011,"Coventry","Allesley Old Rd",""
2011,"Coventry","Almond Tree Ave",""
2011,"Coventry","Arbury Ave Coventry",""
2011,"Coventry","Arena Carpark A444",""
2011,"Coventry","Argyle St Coventry",""
2011,"Coventry","Armstrong Ave Stoke",""
2011,"Coventry","Ashorne Close",""
2011,"Coventry","Attoxhall Rd",""
2011,"Coventry","Averley Rd, Daimler Green",""
2011,"Coventry","Awson St",""
2011,"Coventry","Bandals Surgery, Foleshill Rd",""
2011,"Coventry","Bell Green Rd Junction A444",""
2011,"Coventry","Bell Green Rd, Coventry",""
2011,"Coventry","Bell Green Rd, Coventry",""
2011,"Coventry","Binley Rd",""
2011,"Coventry","Binley Rd",""
2011,"Coventry","Binley Rd",""
2011,"Coventry","Binley Rd",""
2011,"Coventry","Bishop St",""
2011,"Coventry","Blackhorse Ln",""
2011,"Coventry","Blythe Rd",""
2011,"Coventry","Bp Garage Ansty Rd",""
2011,"Coventry","Bramble St Coventry",""
2011,"Coventry","Braod Park Rd, Coventry",""
2011,"Coventry","Bredon Ave, Coventry",""
2011,"Coventry","Broadgate",""
2011,"Coventry","Bull Yard",""
2011,"Coventry","Bushberry Ave",""
2011,"Coventry","Butts Rd Coventry",""
2011,"Coventry","Cashs Ln",""
2011,"Coventry","Cauldon Rd",""
2011,"Coventry","Charter Ave",""
2011,"Coventry","Charter Ave Coventry",""
2011,"Coventry","Chester St",""
2011,"Coventry","Chesterton Rd",""
2011,"Coventry","Cheveral Ave, Coventry",""
2011,"Coventry","Cliffbridge Rd",""
2011,"Coventry","Clifton St,Coventry",""
2011,"Coventry","Coc St",""
2011,"Coventry","Communal Landing At George Poole House, Coventry",""
2011,"Coventry","Compton Rd",""
2011,"Coventry","Concourse Near Mortimers",""
2011,"Coventry","Cook St",""
2011,"Coventry","Corporation St",""
2011,"Coventry","Corporation St,Coventry",""
2011,"Coventry","Corporation St",""
2011,"Coventry","Coundon Rd",""
2011,"Coventry","Coventry",""
2011,"Coventry","Coventry Central Cells",""
2011,"Coventry","Coventry Central Front Office",""
2011,"Coventry","Coventry Central Pol Stn",""
2011,"Coventry","Coventry Central Police Station",""
2011,"Coventry","Coventry Central Police Station",""
2011,"Coventry","Coventry Central Ps",""
2011,"Coventry","Coventry Central Ps",""
2011,"Coventry","Coventry Railwat Station",""
2011,"Coventry","Coventry Railway Station",""
2011,"Coventry","Coventry Train Station",""
2011,"Coventry","Cox St",""
2011,"Coventry","Cross Rd",""
2011,"Coventry","Devonshire Arms",""
2011,"Coventry","Duckham Court",""
2011,"Coventry","Earlsdon High St",""
2011,"Coventry","Elms Pub, Birmingham Rd",""
2011,"Coventry","Fairfax St",""
2011,"Coventry","Far Gosford St",""
2011,"Coventry","Far Gosford St",""
2011,"Coventry","Farndale Ave",""
2011,"Coventry","Farndale Ave",""
2011,"Coventry","Foleshill Rd",""
2011,"Coventry","Foleshill Rd",""
2011,"Coventry","Foleshill Rd",""
2011,"Coventry","Foleshill Rd",""
2011,"Coventry","Foleshill Rd, Coventry",""
2011,"Coventry","Four Pounds Ave, Coventry",""
2011,"Coventry","Friars Rd",""
2011,"Coventry","Front Of Coventry Central Police Station",""
2011,"Coventry","Front Office",""
2011,"Coventry","Front Office",""
2011,"Coventry","Gala Bingo, Pool Meadow",""
2011,"Coventry","Gosford St",""
2011,"Coventry","Gosford St",""
2011,"Coventry","Gosford St",""
2011,"Coventry","Greyfriars St Coventry",""
2011,"Coventry","Gulson Rd Coventry",""
2011,"Coventry","Gulson Rd Coventry",""
2011,"Coventry","Hale St",""
2011,"Coventry","Hales St, Coventry",""
2011,"Coventry","Hartfrod St",""
2011,"Coventry","Hayle St",""
2011,"Coventry","Hayles St",""
2011,"Coventry","Hedgefield Way",""
2011,"Coventry","Herald Way Coventry",""
2011,"Coventry","High St Coventry",""
2011,"Coventry","High St",""
2011,"Coventry","High St",""
2011,"Coventry","Hill St",""
2011,"Coventry","Hipswell Highway",""
2011,"Coventry","Holmesdale Rd",""
2011,"Coventry","Hurst Rd",""
2011,"Coventry","Ibis Hotel",""
2011,"Coventry","Ikea Car Park",""
2011,"Coventry","Ikea Plaza",""
2011,"Coventry","Iron Monger Row",""
2011,"Coventry","Jardine Crescent",""
2011,"Coventry","Jardine Crescent",""
2011,"Coventry","Jasrdine Crescent",""
2011,"Coventry","Jd Wetherspoon Earlsdon",""
2011,"Coventry","Jordan Well",""
2011,"Coventry","Jordan Well, Coventry",""
2011,"Coventry","Jubilee Cresent",""
2011,"Coventry","Kirby Rd",""
2011,"Coventry","Lady Ln",""
2011,"Coventry","Lambeth Close",""
2011,"Coventry","Leader Close",""
2011,"Coventry","Lidice Place",""
2011,"Coventry","Lincoln St,Coventry",""
2011,"Coventry","Littl Park St",""
2011,"Coventry","Little Park St,Coventry",""
2011,"Coventry","Little Park St,Coventry",""
2011,"Coventry","Little Park St Coventry",""
2011,"Coventry","Little Park St",""
2011,"Coventry","Little Park St",""
2011,"Coventry","Little Park St",""
2011,"Coventry","Little Park St",""
2011,"Coventry","Little Park St",""
2011,"Coventry","Little Park St",""
2011,"Coventry","Little Park St",""
2011,"Coventry","Little Park St",""
2011,"Coventry","Little Park St",""
2011,"Coventry","London Rd",""
2011,"Coventry","London Rd",""
2011,"Coventry","Longford Rd",""
2011,"Coventry","Lower Ford St",""
2011,"Coventry","Lower Ford St",""
2011,"Coventry","Lower Holyhead D Jtn With Spon St",""
2011,"Coventry","Lower Holyhead Rd Coventry",""
2011,"Coventry","Lower Holyhead Rd Coventry",""
2011,"Coventry","Lower Precinct Coventry",""
2011,"Coventry","Mafo",""
2011,"Coventry","Manor House Drive",""
2011,"Coventry","Market Way",""
2011,"Coventry","Mary Slessor St",""
2011,"Coventry","Masser Rd",""
2011,"Coventry","Mcdonalds Restaurant A45,Coventry",""
2011,"Coventry","Memorial Park, Coventry",""
2011,"Coventry","Middle Ride",""
2011,"Coventry","Mile Ln",""
2011,"Coventry","Mile Ln",""
2011,"Coventry","Millenium Place",""
2011,"Coventry","Millenium Place",""
2011,"Coventry","Mint Casino, King William St",""
2011,"Coventry","Miranda Close",""
2011,"Coventry","Morris Rd",""
2011,"Coventry","Motor Museum",""
2011,"Coventry","New Union St",""
2011,"Coventry","Norman Place Rd",""
2011,"Coventry","Northy Rd",""
2011,"Coventry","O/S Ccfo",""
2011,"Coventry","O/S Coventry Central Police Station",""
2011,"Coventry","O/S Gosford Arms",""
2011,"Coventry","Oak Gosford St",""
2011,"Coventry","Outside Coventry Central Ps",""
2011,"Coventry","Outside Foleshill Ps",""
2011,"Coventry","Outside Front Of Coventry Central Police Station",""
2011,"Coventry","Outside Heat Bar",""
2011,"Coventry","Outside Kasbars",""
2011,"Coventry","Outside Of The Jewson Stand, Richo Arena, Coventry",""
2011,"Coventry","Owenford Rd",""
2011,"Coventry","Palm Tree Ave, Wood End",""
2011,"Coventry","Palmer Ln, Coventry",""
2011,"Coventry","Palmer Ln, Coventry",""
2011,"Coventry","Palmer Ln, Coventry",""
2011,"Coventry","Penruddick Drive, Coventry",""
2011,"Coventry","Plymouth Close",""
2011,"Coventry","Pool Meadow",""
2011,"Coventry","Pool Meadow Bus Station",""
2011,"Coventry","Pool Meadow Bus Stn",""
2011,"Coventry","Poolmeadow",""
2011,"Coventry","Poolmeadow Bus Station",""
2011,"Coventry","Poolmeadow Bus Station",""
2011,"Coventry","Poppy Court, Remembrance Rd, Willenhall, Coventry",""
2011,"Coventry","Primrose Hill St",""
2011,"Coventry","Primrose Hill St",""
2011,"Coventry","Primrose Hill St",""
2011,"Coventry","Primrose Hill St,Coventry",""
2011,"Coventry","Princethorpe Way",""
2011,"Coventry","Priory Fields, Coventry",""
2011,"Coventry","Priory Gardens",""
2011,"Coventry","Priory St",""
2011,"Coventry","Puma Way",""
2011,"Coventry","Queen Mary S Rd,Foleshill,Coventry",""
2011,"Coventry","Queen Marys Rd Coventry",""
2011,"Coventry","Queen Victoria Rd",""
2011,"Coventry","Radford Rd",""
2011,"Coventry","Radford Rd",""
2011,"Coventry","Raglan St",""
2011,"Coventry","Red Ln",""
2011,"Coventry","Remembrance Rd",""
2011,"Coventry","Richo Areana",""
2011,"Coventry","Richo Areana",""
2011,"Coventry","Richo Arena, Coventry",""
2011,"Coventry","Ricoh Arena",""
2011,"Coventry","Ricoh Arena",""
2011,"Coventry","Ricoh Arena",""
2011,"Coventry","Ridgethorpe, Willenhall, Coventry",""
2011,"Coventry","Rileys Square, Bell Green",""
2011,"Coventry","Ring Rd",""
2011,"Coventry","Riverwalk Walk Wood End",""
2011,"Coventry","Roland Ave,Holbrooks,Coventry",""
2011,"Coventry","Rotherhanm Rd",""
2011,"Coventry","Sainsburys,Trinity St,Coventry",""
2011,"Coventry","Scots Ln",""
2011,"Coventry","Sewall Highway",""
2011,"Coventry","Sewall Highway",""
2011,"Coventry","Sewall Highway Coventry",""
2011,"Coventry","Silver St,Coventry",""
2011,"Coventry","Sky Blue Way",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome Concourse",""
2011,"Coventry","Sky Dome Concourse",""
2011,"Coventry","Sky Dome Concourse",""
2011,"Coventry","Sky Dome Concourse",""
2011,"Coventry","Sky Dome Concourse",""
2011,"Coventry","Sky Dome Concourse Covenmtry",""
2011,"Coventry","Sky Dome Concourse Coventry",""
2011,"Coventry","Sky Dome Concourse",""
2011,"Coventry","Sky Dome, Coventry",""
2011,"Coventry","Sky Dome, Coventry City Centre",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Sky Dome",""
2011,"Coventry","Skydome",""
2011,"Coventry","Skydome",""
2011,"Coventry","Skydome",""
2011,"Coventry","Skydome",""
2011,"Coventry","Skydome",""
2011,"Coventry","Skydome",""
2011,"Coventry","Skydome, Coventry",""
2011,"Coventry","Skydome Car Park",""
2011,"Coventry","Skydome Car Park",""
2011,"Coventry","Skydome Complex",""
2011,"Coventry","Skydome Complex",""
2011,"Coventry","Skydome Complex",""
2011,"Coventry","Skydome Complex, Coventry",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Concourse,Coventry",""
2011,"Coventry","Skydome Concourse",""
2011,"Coventry","Skydome Coventry",""
2011,"Coventry","Skydome Coventry",""
2011,"Coventry","Skydome Coventry City Centre",""
2011,"Coventry","Skydome, Coventry",""
2011,"Coventry","Skydome, Coventry",""
2011,"Coventry","Sorell Close",""
2011,"Coventry","Southbank Rd,Coventry",""
2011,"Coventry","Spom St Coventry",""
2011,"Coventry","Spon End",""
2011,"Coventry","Spon End, Coventry",""
2011,"Coventry","Spon St,Coventry",""
2011,"Coventry","Spon St,Coventry",""
2011,"Coventry","Spon St Coventry",""
2011,"Coventry","Spon St Coventry",""
2011,"Coventry","Spon St Coventry",""
2011,"Coventry","Spon St Coventry",""
2011,"Coventry","Spon St Coventry",""
2011,"Coventry","Spon St Coventry",""
2011,"Coventry","Spon St Coventry",""
2011,"Coventry","Spon St",""
2011,"Coventry","Spon St",""
2011,"Coventry","Spon St",""
2011,"Coventry","Spon St",""
2011,"Coventry","Spon St",""
2011,"Coventry","Spon St",""
2011,"Coventry","St Georges Rd",""
2011,"Coventry","St Georges Rd, Stoke",""
2011,"Coventry","St Lukes Rd Coventry",""
2011,"Coventry","Stonet Stanton Rd Police Station",""
2011,"Coventry","Stoney Stanton Rd Police Station, Coventry",""
2011,"Coventry","Swanswell Park",""
2011,"Coventry","Tachbrook Close",""
2011,"Coventry","Tarquin Close, Coventry",""
2011,"Coventry","Terry Rd",""
2011,"Coventry","Terry Rd, Coventry",""
2011,"Coventry","The Bull Yard City Centre",""
2011,"Coventry","The Bullyard",""
2011,"Coventry","The Burges",""
2011,"Coventry","The Burgess",""
2011,"Coventry","The Burgess",""
2011,"Coventry","The Burgess",""
2011,"Coventry","The Butts Coventry",""
2011,"Coventry","The Butts Retreat Ph",""
2011,"Coventry","The Croft Longford",""
2011,"Coventry","The Forum Medical Centre, Coventry",""
2011,"Coventry","Thimbler Rd",""
2011,"Coventry","Tile Hill Ln Coventry",""
2011,"Coventry","Torrington Ave",""
2011,"Coventry","Trinity Point Link",""
2011,"Coventry","Trinity St",""
2011,"Coventry","Trinity St",""
2011,"Coventry","Trinity St",""
2011,"Coventry","Trinity St City Centre Coventry",""
2011,"Coventry","University Hospital",""
2011,"Coventry","University Hospital",""
2011,"Coventry","University Hospital Coventry",""
2011,"Coventry","Unniversity Of Warwick, Coventry",""
2011,"Coventry","Upper Spon St",""
2011,"Coventry","Vine St",""
2011,"Coventry","Vine St",""
2011,"Coventry","Vinecote Rd",""
2011,"Coventry","Wallace Rd",""
2011,"Coventry","Walsgrave Hospital",""
2011,"Coventry","Warwick Row",""
2011,"Coventry","Warwick University",""
2011,"Coventry","West Orchard",""
2011,"Coventry","West Orchards Circulatory Rd",""
2011,"Coventry","White St",""
2011,"Coventry","Willenhall Ln Coventry",""
2011,"Coventry","Willenhall Police Station Front Office",""
2011,"Coventry","Willenhall Ps",""
2011,"Coventry","Winnalthorpe",""
2011,"Coventry","Wood Way Ln Coventry",""
2011,"Coventry","Wroxall Drive",""
2011,"Coventry","Wroxhall Drive",""
2011,"Dudley","Albion St Brierley Hill",""
2011,"Dudley","Amblecote High St Stourbridge",""
2011,"Dudley","Arley Court",""
2011,"Dudley","Baptist End Rd Netherton",""
2011,"Dudley","Bell St, Stourbridge",""
2011,"Dudley","Bell St",""
2011,"Dudley","Bell St,Stourbridge",""
2011,"Dudley","Bhps",""
2011,"Dudley","Birmingham St, Stourbridge",""
