"Year","Area","Street","Street.2"
2011,"Birmingham","O/S The Junction, Mosley Village",""
2011,"Birmingham","O/S Washwood Heath Rd",""
2011,"Birmingham","Oakhill Rd, Acocks Green",""
2011,"Birmingham","Opp White Hart Ln Cooks Ln",""
2011,"Birmingham","Opposite, Aldi, Stratford Rd",""
2011,"Birmingham","Outside Java Lounge Alcester Rd",""
2011,"Birmingham","Outside O2 Academy Night Club B Ham City Centre",""
2011,"Birmingham","Outside Raven Public House",""
2011,"Birmingham","Packington Ave, Shard End",""
2011,"Birmingham","Park Off Hob Moor Rd",""
2011,"Birmingham","Parkhall Croft",""
2011,"Birmingham","Pear Tree Ph",""
2011,"Birmingham","Police Station",""
2011,"Birmingham","Police Station Stechford",""
2011,"Birmingham","Poplar Rd",""
2011,"Birmingham","Poplar Rd",""
2011,"Birmingham","Poplar Rd, Solihull",""
2011,"Birmingham","Poplar Rd, Solihull",""
2011,"Birmingham","Preston Rd",""
2011,"Birmingham","Priory Rd, Hall Green",""
2011,"Birmingham","Prospect Rd",""
2011,"Birmingham","Queenswood Rd",""
2011,"Birmingham","Rear Of Boots, High St",""
2011,"Birmingham","Reddings Ln, Tsyley",""
2011,"Birmingham","Richmond Primary Care Centre, Richmond Rd, Stechford",""
2011,"Birmingham","Ring Rd, Stourbridge",""
2011,"Birmingham","Sainsburys, Wawrick Rd",""
2011,"Birmingham","Sainsburys Alcester Rd South",""
2011,"Birmingham","Sandford Rd Moseley",""
2011,"Birmingham","Sarehole Mill",""
2011,"Birmingham","Sedgemere Rd",""
2011,"Birmingham","Shirley Rd",""
2011,"Birmingham","Shirley Rd",""
2011,"Birmingham","Snow Hill",""
2011,"Birmingham","Solihull Ln",""
2011,"Birmingham","St Mary S Rd, Moseley",""
2011,"Birmingham","St Marys Row",""
2011,"Birmingham","Station Rd",""
2011,"Birmingham","Station Way, Birmingham International Rail Station",""
2011,"Birmingham","Stechford Front Office",""
2011,"Birmingham","Stechford P S",""
2011,"Birmingham","Stechford Retail Park",""
2011,"Birmingham","Stonehenge Croft Druids Heath",""
2011,"Birmingham","Stoney Ln",""
2011,"Birmingham","Stoney Ln",""
2011,"Birmingham","Stoney Ln",""
2011,"Birmingham","Stratford Heath, Spark Hill, Birmingham",""
2011,"Birmingham","Stratford Rd",""
2011,"Birmingham","Stratford Rd",""
2011,"Birmingham","Stratford Rd",""
2011,"Birmingham","Stratford Rd, Hall Green",""
2011,"Birmingham","Stratford Rd",""
2011,"Birmingham","Stuart Rd, Stechford",""
2011,"Birmingham","Talbort St",""
2011,"Birmingham","Taunton Rd",""
2011,"Birmingham","Tavistock Rd",""
2011,"Birmingham","The Ave",""
2011,"Birmingham","The Paer Tree Pub",""
2011,"Birmingham","Trafalger Rd",""
2011,"Birmingham","Wake Green Rd",""
2011,"Birmingham","Ward End Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd",""
2011,"Birmingham","Warwick Rd Tysley",""
2011,"Birmingham","Wash Ln",""
2011,"Birmingham","Washford Heath Rd",""
2011,"Birmingham","Washwood Heath Pub",""
2011,"Birmingham","Washwood Heath Rd, Washwood Heath, Bham",""
2011,"Birmingham","Washwood Heath Rd",""
2011,"Birmingham","Washwood Heath Rd",""
2011,"Birmingham","Washwood Heath Rd",""
2011,"Birmingham","Washwood Heath Rd",""
2011,"Birmingham","Watery Ln Middleway, Birmingham",""
2011,"Birmingham","Wawrick Rd",""
2011,"Birmingham","Welshfarm Rd, Quinton",""
